GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021,WOODARD NATION NAME
1055,Etowah,24.91146209,8.241781847,43.9034463,415.75,Alabama,2019,103088,581,46308,85.8,GREATER APPALACHIA
1057,Fayette,15.96916803,5.248744692,43.64239049,38.75,Alabama,2019,16118,84,46122,85.4,GREATER APPALACHIA
1059,Franklin,21.66341306,8.415367201,58.42508405,169.25,Alabama,2019,31932,25,45440,84.2,GREATER APPALACHIA
1061,Geneva,16.02359991,5.455638044,71.31386377,131.25,Alabama,2019,26783,336,43206,80,DEEP SOUTH
1063,Greene,18.00213653,6.624534366,65.27766278,57,Alabama,2019,7422,-113,30225,56,DEEP SOUTH
1065,Hale,24.46537404,5.844132372,60.21688034,30.25,Alabama,2019,14595,-70,41995,77.8,DEEP SOUTH
1067,Henry,21.30995083,5.612721517,54.69316453,91,Alabama,2019,17655,334,56389,104.4,DEEP SOUTH
1069,Houston,31.48109797,11.71748873,54.32390342,742,Alabama,2019,108079,832,48701,90.2,DEEP SOUTH
1071,Jackson,25.28754404,8.221491678,64.97851882,161.25,Alabama,2019,52891,600,46998,87,GREATER APPALACHIA
1073,Jefferson,36.34396685,12.54108049,45.48410413,3571.25,Alabama,2019,665409,-3791,55210,102.3,DEEP SOUTH
1075,Lamar,17.70378689,5.213088948,134.6007528,16.25,Alabama,2019,13705,51,44265,82,GREATER APPALACHIA
1077,Lauderdale,30.418155,10.03675741,59.51745572,426.75,Alabama,2019,95878,1401,52222,96.7,GREATER APPALACHIA
1079,Lawrence,29.76921673,9.919483983,57.11141352,130.25,Alabama,2019,33214,274,55555,102.9,GREATER APPALACHIA
1081,Lee,25.09322016,8.623974754,56.48515264,614,Alabama,2019,180773,2608,54188,100.4,DEEP SOUTH
1083,Limestone,36.77181334,10.41268111,53.59118259,497.5,Alabama,2019,110900,3325,69207,128.2,GREATER APPALACHIA
1085,Lowndes,25.43680143,9.382414818,53.11727282,57.5,Alabama,2019,9777,-93,36993,68.5,DEEP SOUTH
1087,Macon,24.80898436,7.847949267,86.80546641,87.75,Alabama,2019,18516,-283,35354,65.5,DEEP SOUTH
1089,Madison,31.95218422,12.13929271,48.78574369,2186.25,Alabama,2019,403565,6387,78386,145.2,GREATER APPALACHIA
1091,Marengo,24.13437111,9.195850686,51.7019329,93.75,Alabama,2019,18745,-89,42048,77.9,DEEP SOUTH
1093,Marion,26.45257727,6.702960559,53.50730015,129.5,Alabama,2019,29156,361,44636,82.7,GREATER APPALACHIA
1095,Marshall,22.78459053,8.987207315,54.35755923,351,Alabama,2019,99423,1028,50858,94.2,GREATER APPALACHIA
1097,Mobile,31.8480695,10.04913006,62.96939161,2066.5,Alabama,2019,411411,-1213,49848,92.3,DEEP SOUTH
1099,Monroe,13.14667981,3.717826256,87.21202399,60.75,Alabama,2019,19404,-21,40997,75.9,DEEP SOUTH
1101,Montgomery,32.42310801,11.92124726,44.79586553,1174.5,Alabama,2019,226361,-861,50645,93.8,DEEP SOUTH
1103,Morgan,30.79181348,10.55595995,58.03510165,739.5,Alabama,2019,124211,1059,56340,104.4,GREATER APPALACHIA
1105,Perry,21.81522293,8.212020486,47.93286351,22,Alabama,2019,8035,-219,31522,58.4,DEEP SOUTH
1107,Pickens,15.42625254,5.156838973,80.19672964,61,Alabama,2019,18697,234,43926,81.4,DEEP SOUTH
1109,Pike,19.2735996,7.372090871,55.8717298,97.75,Alabama,2019,33014,354,38945,72.1,DEEP SOUTH
1111,Randolph,18.80398135,7.261019947,60.4610818,85.75,Alabama,2019,22479,373,45889,85,DEEP SOUTH
1113,Russell,25.12635318,8.328191075,57.80186008,370.75,Alabama,2019,58555,-78,44849,83.1,DEEP SOUTH
1115,St. Clair,26.95822757,8.679032126,51.79604743,500,Alabama,2019,93932,1281,63015,116.7,DEEP SOUTH
1117,Shelby,36.56186549,11.52305237,46.19895828,1397,Alabama,2019,230115,2356,85457,158.3,DEEP SOUTH
1119,Sumter,24.39194791,6.891409895,68.71101164,71.75,Alabama,2019,11853,-53,29490,54.6,DEEP SOUTH
1121,Talladega,20.9233105,7.739420155,65.51100711,398,Alabama,2019,80704,618,47331,87.7,DEEP SOUTH
1123,Tallapoosa,23.44378582,7.234351407,52.90915958,114,Alabama,2019,40977,130,47444,87.9,DEEP SOUTH
1125,Tuscaloosa,42.56318626,14.51472275,41.23930808,1077.75,Alabama,2019,236780,977,56274,104.2,DEEP SOUTH
1127,Walker,26.91671003,9.830270536,50.63455037,374,Alabama,2019,64339,267,46343,85.8,GREATER APPALACHIA
1129,Washington,22.55178239,5.304068689,72.32480168,36,Alabama,2019,15122,-75,49795,92.2,DEEP SOUTH
1131,Wilcox,15.89204123,6.369357252,77.94933453,62.75,Alabama,2019,10059,-224,30071,55.7,DEEP SOUTH
1133,Winston,20.3814126,6.304124282,59.30761012,167.75,Alabama,2019,23755,265,47176,87.4,GREATER APPALACHIA
2020,Anchorage Municipality,29.4065071,10.03340401,59.58398445,1852,Alaska,2019,287145,-2694,86152,109.8,THE FAR WEST
2050,Bethel Census Area,0.699071412,0.588995376,64.19578121,40,Alaska,2019,18257,-578,54849,69.9,FIRST NATION
2060,Bristol Bay Borough,0.819042857,0.583480952,137.0238095,7,Alaska,2019,865,24,88516,112.8,THE FAR WEST
2068,Denali Borough,18.1443791,6.47102619,77.95132275,26.5,Alaska,2019,1585,-20,85251,108.7,FIRST NATION
2070,Dillingham Census Area,0.934016389,0.616446944,56.30583333,19,Alaska,2019,4723,-75,58389,74.4,FIRST NATION
2090,Fairbanks North Star Borough,17.10927782,7.356531249,80.65390907,498.5,Alaska,2019,95356,-791,76754,97.9,THE FAR WEST
2100,Haines Borough,4.118532542,3.380009693,120.3780242,28,Alaska,2019,2056,-11,63155,80.5,THE FAR WEST
2105,Hoonah-Angoon Census Area,2.850785714,2.544310714,126.2125,9.75,Alaska,2019,2287,-51,56555,72.1,THE LEFT COAST
2110,Juneau City and Borough,21.31168886,8.873126552,105.9103561,110,Alaska,2019,31685,-309,89922,114.6,THE LEFT COAST
2122,Kenai Peninsula Borough,23.75882442,7.093614062,78.18095176,424.25,Alaska,2019,60690,781,71111,90.7,THE FAR WEST
2130,Ketchikan Gateway Borough,20.72395981,7.675838865,108.498813,75.5,Alaska,2019,13741,-80,73260,93.4,THE LEFT COAST
2150,Kodiak Island Borough,21.94160402,9.498309662,74.58418881,30,Alaska,2019,12720,-239,80863,103.1,THE FAR WEST
2158,Kusilvak Census Area,0.776068265,0.626016365,67.53664107,69.5,Alaska,2019,8278,-307,38203,48.7,FIRST NATION
2170,Matanuska-Susitna Borough,29.9473406,8.786706594,70.68342833,371.5,Alaska,2019,113325,1844,80164,102.2,THE FAR WEST
2180,Nome Census Area,0.865479429,0.57732493,75.72671569,13.5,Alaska,2019,9835,-186,65578,83.6,FIRST NATION
2185,North Slope Borough,10.67517277,5.403258493,69.47244778,221.25,Alaska,2019,10805,-292,95041,121.2,FIRST NATION
2188,Northwest Arctic Borough,2.308734314,1.838957941,80.17696078,30.5,Alaska,2019,7423,-226,67586,86.2,FIRST NATION
2195,Petersburg Borough,4.552462615,3.319350129,139.4586901,48.25,Alaska,2019,3360,-6,71878,91.6,THE LEFT COAST
2198,Prince of Wales-Hyder Census Area,5.496397222,5.346810217,199.7301328,78.25,Alaska,2019,5650,-73,56226,71.7,THE LEFT COAST
2220,Sitka City and Borough,16.12413116,4.972306739,109.6638436,49.25,Alaska,2019,8382,-36,78248,99.8,THE LEFT COAST
2230,Skagway Municipality,10.73718097,5.023821701,120.1910755,22.5,Alaska,2019,1081,-58,65712,83.8,THE FAR WEST
2240,Southeast Fairbanks Census Area,16.45430381,4.93296961,115.07165,69.25,Alaska,2019,7021,-4,68347,87.1,THE FAR WEST
2261,Valdez-Cordova Census Area,18.97072069,6.917124316,109.8389705,101,Alaska,2019,,,,,THE FAR WEST
2275,Wrangell City and Borough,10.86696017,5.354604779,106.7012868,12.75,Alaska,2019,2070,-22,64732,82.5,THE LEFT COAST
2282,Yakutat City and Borough,6.2295,3.9855,237,2,Alaska,2019,700,-19,73014,93.1,THE LEFT COAST
2290,Yukon-Koyukuk Census Area,9.994048377,5.627999675,150.6123377,10.5,Alaska,2019,5179,-102,44934,57.3,FIRST NATION
4001,Apache,9.11341412,3.989577114,150.8656919,456,Arizona,2019,65432,472,41002,59.5,THE FAR WEST
4003,Cochise,25.41483427,10.11440822,57.84504477,1182.25,Arizona,2019,125663,452,55748,80.8,EL NORTE
4005,Coconino,23.20979703,9.196421998,76.44246662,1844.25,Arizona,2019,144060,1105,63829,92.6,THE FAR WEST
4007,Gila,28.1716341,8.382098809,70.63717653,395,Arizona,2019,53922,922,52665,76.4,THE FAR WEST
4009,Graham,18.25794848,9.31228814,83.82826703,216.5,Arizona,2019,38779,-162,52644,76.3,EL NORTE
4011,Greenlee,26.95216041,13.40703815,46.14677332,30.5,Arizona,2019,9302,-109,71669,103.9,EL NORTE
4012,La Paz,23.04154468,10.71734735,109.5878862,785.5,Arizona,2019,16506,332,44330,64.3,EL NORTE
4013,Maricopa,52.73565694,12.48150401,39.82262655,33578.25,Arizona,2019,4551524,48593,76230,110.5,EL NORTE
4015,Mohave,24.36259859,6.955937178,64.37787944,2228.5,Arizona,2019,220816,6137,48169,69.8,THE FAR WEST
4017,Navajo,15.27977849,6.013114983,77.89989067,963.5,Arizona,2019,108650,1545,49057,71.1,THE FAR WEST
4019,Pima,40.01451895,11.39396245,51.34010584,6227.75,Arizona,2019,1057597,11121,60604,87.9,EL NORTE
4021,Pinal,25.95346956,6.903871952,55.68189023,2724.5,Arizona,2019,464154,15233,70835,102.7,EL NORTE
4023,Santa Cruz,21.42898443,7.405638936,62.58747017,270.5,Arizona,2019,48759,630,49216,71.4,EL NORTE
4025,Yavapai,24.13269377,9.587451451,56.50635629,1831.75,Arizona,2019,246191,5990,57676,83.6,THE FAR WEST
4027,Yuma,25.40138249,8.335935039,74.38625324,1628.25,Arizona,2019,207842,942,55991,81.2,EL NORTE
5001,Arkansas,19.41078543,7.194259429,49.4710571,80,Arkansas,2019,16512,-34,50928,96.9,DEEP SOUTH
5003,Ashley,18.25123349,4.401788239,144.3339458,119.25,Arkansas,2019,18354,-179,44030,83.7,DEEP SOUTH
5005,Baxter,23.99674302,7.225043455,68.54915259,205.25,Arkansas,2019,42435,796,45116,85.8,GREATER APPALACHIA
5007,Benton,36.50443939,11.43740243,57.64155795,1526,Arkansas,2019,302863,7028,78974,150.2,GREATER APPALACHIA
5009,Boone,25.29234181,9.54425147,66.97933537,199.5,Arkansas,2019,38284,580,48700,92.6,GREATER APPALACHIA
5011,Bradley,22.13560605,4.951561607,65.23809524,31.25,Arkansas,2019,10135,-127,40454,76.9,DEEP SOUTH
5013,Calhoun,30.45804242,10.48286591,84.07878788,13,Arkansas,2019,4695,-2,49977,95.1,DEEP SOUTH
5015,Carroll,16.36467676,5.497558129,94.14266079,301.75,Arkansas,2019,28742,316,49225,93.6,GREATER APPALACHIA
5017,Chicot,25.48226423,6.868265909,75.77045455,23.5,Arkansas,2019,9873,-127,34857,66.3,DEEP SOUTH
5019,Clark,29.71969156,10.00692552,65.05477377,114.25,Arkansas,2019,21250,112,47158,89.7,DEEP SOUTH
5021,Clay,11.52699787,4.612894063,82.65864511,64.5,Arkansas,2019,14265,14,41419,78.8,GREATER APPALACHIA
5023,Cleburne,25.56125205,6.30373783,66.4576665,179.5,Arkansas,2019,25284,455,50200,95.5,GREATER APPALACHIA
5025,Cleveland,20.66076227,3.631785256,78.49697802,34.25,Arkansas,2019,7467,36,53705,102.1,DEEP SOUTH
5027,Columbia,27.14176746,9.680661408,85.692036,90.5,Arkansas,2019,22216,-219,44651,84.9,DEEP SOUTH
5029,Conway,28.00087416,6.999015952,69.27488357,132.25,Arkansas,2019,21046,214,47741,90.8,GREATER APPALACHIA
5031,Craighead,32.4345688,9.923799047,56.37869089,687.75,Arkansas,2019,113017,905,52490,99.8,DEEP SOUTH
5033,Crawford,29.85077267,8.668435497,64.93332445,341,Arkansas,2019,61075,796,54065,102.8,GREATER APPALACHIA
5035,Crittenden,26.25532963,8.879385151,63.9830735,302.5,Arkansas,2019,47061,-411,43821,83.3,DEEP SOUTH
5037,Cross,37.34673335,11.82741842,58.25225035,161,Arkansas,2019,16601,-12,45262,86.1,DEEP SOUTH
5039,Dallas,30.39318967,11.02752566,74.02254005,26.75,Arkansas,2019,6191,-50,42442,80.7,DEEP SOUTH
5041,Desha,19.43025017,6.135294872,107.689458,32,Arkansas,2019,10771,-212,39042,74.3,DEEP SOUTH
5043,Drew,31.07556128,6.947019378,83.79444973,48.25,Arkansas,2019,16911,-104,46572,88.6,DEEP SOUTH
5045,Faulkner,32.31768038,9.035976112,55.26544155,812.5,Arkansas,2019,127665,1708,57573,109.5,GREATER APPALACHIA
5047,Franklin,22.82788813,7.009158098,73.44733821,149,Arkansas,2019,17271,196,47834,91,GREATER APPALACHIA
5049,Fulton,16.55649163,7.622343351,69.06415922,49,Arkansas,2019,12382,333,41557,79,GREATER APPALACHIA
5051,Garland,27.05478526,8.347211792,69.50938031,820.5,Arkansas,2019,100089,459,48053,91.4,GREATER APPALACHIA
5053,Grant,21.82381206,6.440547658,57.91862745,93.25,Arkansas,2019,18160,112,67088,127.6,DEEP SOUTH
5055,Greene,33.20626654,8.24919654,59.69648555,296.75,Arkansas,2019,46448,183,53920,102.6,GREATER APPALACHIA
5057,Hempstead,19.76682715,9.850029054,71.96917168,146.25,Arkansas,2019,19453,-213,41281,78.5,DEEP SOUTH
5059,Hot Spring,24.27228219,6.064491911,63.71140461,204.5,Arkansas,2019,33203,305,51662,98.3,GREATER APPALACHIA
5061,Howard,13.66665319,7.856176071,76.75198632,119,Arkansas,2019,12557,-84,42733,81.3,GREATER APPALACHIA
5063,Independence,33.70134036,8.912866015,48.81833181,255.5,Arkansas,2019,37945,288,48957,93.1,GREATER APPALACHIA
5065,Izard,17.62794608,5.534486236,66.67047566,139.5,Arkansas,2019,14048,251,40788,77.6,GREATER APPALACHIA
5067,Jackson,15.051912,10.52649789,62.18924752,96,Arkansas,2019,16624,-18,37815,71.9,GREATER APPALACHIA
5069,Jefferson,20.18937095,6.436075064,73.89570941,350.75,Arkansas,2019,64246,-1172,46100,87.7,DEEP SOUTH
5071,Johnson,17.61579627,6.358827589,81.26422748,151.5,Arkansas,2019,26001,66,43003,81.8,GREATER APPALACHIA
5073,Lafayette,24.34595925,9.399742642,83.17133164,43.75,Arkansas,2019,6101,15,38777,73.8,DEEP SOUTH
5075,Lawrence,35.67857661,12.69570938,59.6053656,89.5,Arkansas,2019,16205,-19,44661,84.9,GREATER APPALACHIA
5077,Lee,19.39169697,4.751295455,55.70454545,10,Arkansas,2019,8364,-108,29714,56.5,DEEP SOUTH
5079,Lincoln,12.96763498,5.145961315,99.87156285,42,Arkansas,2019,12916,-166,45435,86.4,DEEP SOUTH
5081,Little River,22.67798941,4.844105762,124.5604113,70.75,Arkansas,2019,11821,-45,46619,88.7,DEEP SOUTH
5083,Logan,14.88586305,4.577534976,88.35363464,97.25,Arkansas,2019,21253,158,45558,86.7,GREATER APPALACHIA
5085,Lonoke,29.18808268,8.474204713,58.68138839,354,Arkansas,2019,75225,458,64633,122.9,GREATER APPALACHIA
5087,Madison,23.94164223,7.569945597,64.85432736,50.75,Arkansas,2019,17486,540,49691,94.5,GREATER APPALACHIA
5089,Marion,22.6270191,8.049352215,66.79204905,136.5,Arkansas,2019,17254,463,42892,81.6,GREATER APPALACHIA
5091,Miller,21.49491873,6.248073626,72.19875746,168.25,Arkansas,2019,42552,159,45450,86.4,DEEP SOUTH
5093,Mississippi,20.37674854,7.219388239,69.99204592,138,Arkansas,2019,38896,-602,41007,78,DEEP SOUTH
5095,Monroe,14.31349557,5.974043552,62.94259717,29.75,Arkansas,2019,6564,-31,37113,70.6,DEEP SOUTH
5097,Montgomery,14.83452418,6.604198177,82.89764402,64.25,Arkansas,2019,8556,7,41359,78.7,GREATER APPALACHIA
5099,Nevada,26.60733662,10.956924,63.17324472,66.25,Arkansas,2019,8181,41,40283,76.6,DEEP SOUTH
5101,Newton,13.42361398,5.717157292,74.6093694,38.75,Arkansas,2019,7078,0,41823,79.5,GREATER APPALACHIA
5103,Ouachita,17.02594266,7.019529488,81.99859264,57,Arkansas,2019,22049,-158,47169,89.7,DEEP SOUTH
5105,Perry,13.10879493,4.698933787,87.17405162,41.5,Arkansas,2019,10063,130,51204,97.4,GREATER APPALACHIA
5107,Phillips,18.76004868,6.481284366,48.96258552,37,Arkansas,2019,15304,-424,32419,61.7,DEEP SOUTH
5109,Pike,26.26310329,12.60492679,53.06612872,50.5,Arkansas,2019,10179,113,43710,83.1,GREATER APPALACHIA
5111,Poinsett,35.36907149,11.20580215,63.51274854,157.75,Arkansas,2019,22495,-112,42639,81.1,DEEP SOUTH
5113,Polk,16.75492009,6.811460595,79.66304663,359.5,Arkansas,2019,19337,152,43166,82.1,GREATER APPALACHIA
5115,Pope,22.3572087,8.218296521,73.10105175,336,Arkansas,2019,64065,386,47049,89.5,GREATER APPALACHIA
5117,Prairie,21.83495903,7.766541073,71.88961853,50.25,Arkansas,2019,8069,58,59367,112.9,GREATER APPALACHIA
5119,Pulaski,43.84500175,11.92530627,51.69512576,2512.75,Arkansas,2019,399145,854,53597,101.9,GREATER APPALACHIA
5121,Randolph,31.62323204,9.704197764,65.13444348,67.75,Arkansas,2019,18837,71,43484,82.7,GREATER APPALACHIA
5123,St. Francis,25.84302937,7.81036628,75.74328806,142,Arkansas,2019,22451,-228,36781,70,DEEP SOUTH
5125,Saline,30.25834566,7.997543058,58.11379501,712.75,Arkansas,2019,127357,2146,68107,129.5,DEEP SOUTH
5127,Scott,17.52862956,7.844995172,89.825752,60.25,Arkansas,2019,9805,69,39974,76,GREATER APPALACHIA
5129,Searcy,12.56375571,5.404115789,83.92201784,103.75,Arkansas,2019,7918,100,35422,67.4,GREATER APPALACHIA
5131,Sebastian,25.82156115,7.724160837,62.05679457,815.75,Arkansas,2019,129059,742,49170,93.5,GREATER APPALACHIA
5133,Sevier,25.38304324,6.239949762,54.97887335,76.25,Arkansas,2019,15686,-6,46651,88.7,GREATER APPALACHIA
5135,Sharp,26.17192905,7.990388757,53.65121224,101.75,Arkansas,2019,17810,289,39183,74.5,GREATER APPALACHIA
5137,Stone,12.12263361,5.576415891,62.81534566,127.75,Arkansas,2019,12575,256,37782,71.9,GREATER APPALACHIA
5139,Union,20.81100851,7.97036972,72.82736926,127.75,Arkansas,2019,37752,-444,47315,90,DEEP SOUTH
5141,Van Buren,19.90255891,5.99813855,79.22354195,119.25,Arkansas,2019,16102,490,39629,75.4,GREATER APPALACHIA
5143,Washington,32.55394625,11.5829055,54.16232759,927.5,Arkansas,2019,256054,3195,64218,122.1,GREATER APPALACHIA
5145,White,28.29694158,7.676482333,59.65703127,600,Arkansas,2019,77755,808,51660,98.3,GREATER APPALACHIA
5147,Woodruff,22.46437635,10.89140766,54.74599527,31.75,Arkansas,2019,6049,-53,37331,71,DEEP SOUTH
5149,Yell,16.55452504,5.242846521,82.18131684,59,Arkansas,2019,20129,30,48526,92.3,GREATER APPALACHIA
6001,Alameda,35.73853488,11.67313908,44.32920684,10133,California,2019,1628997,-21557,108971,128.5,THE LEFT COAST
6003,Alpine,21.39517763,8.66105292,92.12613445,23,California,2019,1190,-35,87570,103.2,THE FAR WEST
6005,Amador,26.84494491,7.707588203,55.13340689,248.75,California,2019,41412,461,68159,80.3,THE FAR WEST
6007,Butte,25.40470964,7.81101128,63.48098032,1002.25,California,2019,207303,1473,62982,74.2,THE FAR WEST
6009,Calaveras,25.63647548,7.573419148,67.74665277,245.75,California,2019,46563,526,68298,80.5,THE FAR WEST
6011,Colusa,19.84495428,8.313970912,54.54320143,152,California,2019,21914,-118,60725,71.6,THE FAR WEST
6013,Contra Costa,37.28186018,12.12918839,43.39155633,5693.25,California,2019,1156966,-9800,110595,130.4,THE LEFT COAST
6015,Del Norte,21.87926834,8.760862515,81.39298163,88,California,2019,27082,-393,48108,56.7,THE LEFT COAST
6017,El Dorado,26.68767261,7.965951715,54.41796829,1547.5,California,2019,192646,-643,87689,103.4,THE FAR WEST
6019,Fresno,27.14635805,8.825181313,50.07289536,5025.5,California,2019,1015190,-2652,63140,74.4,THE FAR WEST
6021,Glenn,29.40641695,9.547572185,53.04535946,156.5,California,2019,28339,-403,56741,66.9,THE FAR WEST
6023,Humboldt,15.49815383,6.259405282,72.01539109,1728.25,California,2019,135010,399,53924,63.6,THE LEFT COAST
6025,Imperial,21.86232994,9.558505285,56.9867299,2497.5,California,2019,178713,-1196,50970,60.1,EL NORTE
6027,Inyo,25.37745739,6.719966063,95.84585807,184.25,California,2019,18718,-150,62381,73.5,THE FAR WEST
6029,Kern,29.75990075,11.04486041,51.535175,6152.75,California,2019,916108,-446,57926,68.3,THE FAR WEST
6031,Kings,23.3299105,7.316565644,55.18691798,618.75,California,2019,152981,-674,60810,71.7,THE FAR WEST
6033,Lake,16.67127152,7.099071586,56.65685636,290.75,California,2019,68191,-155,55801,65.8,THE FAR WEST
6035,Lassen,19.04435596,7.209225899,70.84661892,182.75,California,2019,29904,-2083,56923,67.1,THE FAR WEST
6037,Los Angeles,42.12392337,13.33724135,42.8201083,78749.25,California,2019,9721138,-109018,77356,91.2,EL NORTE
6039,Madera,26.82744401,7.796474404,57.52352277,605,California,2019,160256,705,60241,71,THE FAR WEST
6041,Marin,38.27672519,11.58379895,57.2427727,893,California,2019,256018,-3382,118472,139.7,THE LEFT COAST
6043,Mariposa,18.60668555,6.968033047,88.80122281,154,California,2019,17020,-7,60377,71.2,THE FAR WEST
6045,Mendocino,16.10128812,6.134003701,74.16294742,468.25,California,2019,89783,-1104,57516,67.8,THE LEFT COAST
6047,Merced,26.96895616,9.249126669,52.11664493,1240.75,California,2019,290014,3820,54703,64.5,THE FAR WEST
6049,Modoc,10.32067381,6.957630163,76.20060043,45.5,California,2019,8511,8,49273,58.1,THE FAR WEST
6051,Mono,24.85211656,7.275041431,78.8369016,237.75,California,2019,12978,-357,70945,83.6,THE FAR WEST
6053,Monterey,29.34527821,10.78101754,50.97037695,2601.5,California,2019,432858,-7147,81404,96,THE LEFT COAST
6055,Napa,34.68815087,9.635124051,59.29405715,673,California,2019,134300,-1897,94127,111,THE LEFT COAST
6057,Nevada,25.57000872,7.774091372,52.53018488,638.25,California,2019,102293,-782,77220,91,THE FAR WEST
6059,Orange,41.80510632,13.38340162,39.96435951,25521.25,California,2019,3151184,-16574,100210,118.1,EL NORTE
6061,Placer,38.01762019,12.02452605,39.29041531,2698.5,California,2019,417772,5092,103588,122.1,THE FAR WEST
6063,Plumas,12.22257731,4.68840212,102.6105385,198.75,California,2019,19351,-513,58154,68.6,THE FAR WEST
6065,Riverside,30.93173593,11.62282395,45.27991958,14140,California,2019,2473902,15525,78690,92.8,EL NORTE
6067,Sacramento,38.10130839,12.57573584,38.6323489,9962.5,California,2019,1584169,-8818,79611,93.8,THE LEFT COAST
6069,San Benito,21.28393714,7.056584486,54.92699282,485,California,2019,67579,533,95187,112.2,THE LEFT COAST
6071,San Bernardino,28.14749755,11.55424093,45.23163493,15499,California,2019,2193656,-6486,74218,87.5,THE FAR WEST
6073,San Diego,53.90771585,14.3219274,39.68807709,27454.5,California,2019,3276208,-9604,90756,107,EL NORTE
6075,San Francisco,48.50668019,16.10210925,45.77921337,7778.25,California,2019,808437,-3867,119776,141.2,THE LEFT COAST
6077,San Joaquin,29.02559605,10.23545176,46.56697333,3465,California,2019,793229,2646,79598,93.8,THE FAR WEST
6079,San Luis Obispo,32.54754602,10.32193782,49.85986398,1902.25,California,2019,282013,2721,79688,93.9,EL NORTE
6081,San Mateo,35.92416499,12.70308196,47.93763868,6506.25,California,2019,729181,-13011,131151,154.6,THE LEFT COAST
6083,Santa Barbara,26.97490775,9.446608837,54.70128995,2069.75,California,2019,443837,4266,83185,98.1,EL NORTE
6085,Santa Clara,48.73268191,12.20404148,45.21928203,16008.75,California,2019,1870945,-24913,141161,166.4,THE LEFT COAST
