id,org_id,name,aka,name_long,city,country,region_continent,media,notes,proto_unicast,proto_multicast,proto_ipv6,website,social_media,url_stats,tech_email,tech_phone,policy_email,policy_phone,sales_phone,sales_email,net_count,fac_count,ixf_net_count,ixf_last_import,ixf_import_request,ixf_import_request_status,service_level,terms,status_dashboard,created,updated,status
14,32,NYIIX New York,,New York International Internet eXchange,New York,US,North America,Ethernet,"For 24 x 7 support, please contact our Customer Assistance Center at cac@telehouse.com. For technical inquiries, please contact at iixeng@telehouse.com",True,False,True,https://www.nyiix.net/locations/nyiix-new-york/,"[{'service': 'website', 'identifier': 'https://www.nyiix.net/locations/nyiix-new-york/'}]",https://www.nyiix.net/mrtg/sum.html,cac@telehouse.com,+17183552525,iixeng@telehouse.com,,,iixsales@telehouse.com,196,7,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2023-03-07T18:44:03Z,ok
17,2,Equinix Miami,,Equinix Internet Exchange Miami,Miami,US,North America,Ethernet,fka: NAP Of The Americas,True,False,True,http://www.equinix.com,"[{'service': 'website', 'identifier': 'http://www.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,support@equinix.com,,support@equinix.com,,,,171,2,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:37:23Z,ok
22,8592,Digital Realty Atlanta,,Digital Realty Atlanta Internet Exchange,Atlanta,US,North America,Ethernet,"fka: Telx Internet Exchange (TIE)
fka: Atlanta-IX",True,False,True,https://ix.digitalrealty.com,"[{'service': 'website', 'identifier': 'https://ix.digitalrealty.com'}]",,ix@digitalrealty.com,+18888359832,ix@digitalrealty.com,+18888359832,,,152,2,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2021-11-01T23:23:30Z,ok
23,32,NYIIX Los Angeles,,New York International Internet eXchange - Los Angeles,Los Angeles,US,North America,Ethernet,,True,False,True,https://www.nyiix.net/locations/nyiix-la/,"[{'service': 'website', 'identifier': 'https://www.nyiix.net/locations/nyiix-la/'}]",https://www.nyiix.net/LA-mrtg/sum.html,iixeng@telehouse.com,,,,,iixsales@telehouse.com,32,2,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2023-03-07T18:44:33Z,ok
82,461,Pacific Wave,,"Pacific Wave Exchange in LA, Sunnyvale and Seattle",West Coast,US,North America,Ethernet,Distributed exchange composed of site-local and inter-site VLAN's focused on international research & education data exchange.,True,True,True,http://www.pacificwave.net/,"[{'service': 'website', 'identifier': 'http://www.pacificwave.net/'}]",,noc@pacificwave.net,,,,,,14,5,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2020-07-20T22:59:58Z,ok
89,199,MadIX,,Madison Internet Exchange,Madison,US,North America,Ethernet,,True,True,True,http://kb.wisc.edu/ns/page.php?id=6636,"[{'service': 'website', 'identifier': 'http://kb.wisc.edu/ns/page.php?id=6636'}]",http://kb.wisc.edu/ns/page.php?id=6636,noc@uwsys.net,+16082634188,peering@uwsys.net,+16082634188,,,16,2,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2024-02-15T20:10:03Z,ok
127,283,Oregon Internet Exchange (OIX),,Oregon-IX,"Eugene, Oregon",US,North America,Ethernet,,True,False,False,http://www.oregon-ix.net/,"[{'service': 'website', 'identifier': 'http://www.oregon-ix.net/'}]",http://www.oregon-ix.net/stat-frme.html,oix-maintainer@ns.uoregon.edu,,,,,,2,1,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2017-05-16T10:52:23Z,ok
141,309,TampaIX,,Tampa Internet Exchange,Tampa,US,North America,Ethernet,,True,False,False,http://tampaix.net,"[{'service': 'website', 'identifier': 'http://tampaix.net'}]",,support@tampaix.net,+18136766666,info@tampaix.net,,,,1,1,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2020-01-22T04:24:06Z,ok
142,34,Any2West,,CoreSite - Any2West,Los Angeles and Silicon Valley,US,North America,Ethernet,,True,False,True,http://www.coresite.com,"[{'service': 'website', 'identifier': 'http://www.coresite.com'}]",,osc@coresite.com,+18667772673,any2@coresite.com,+18667772673,,info@coresite.com,272,9,0,,,queued,24/7 Support,Not Disclosed,,2010-07-29T00:00:00Z,2022-10-14T17:01:41Z,ok
151,331,BigApe,,The Big Apple Peering Exchange,New York,US,North America,Ethernet,,True,False,True,http://www.bigape.us,"[{'service': 'website', 'identifier': 'http://www.bigape.us'}]",,info@bigape.us,,info@bigape.us,,,,1,2,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2016-03-14T21:37:54Z,ok
155,340,SFMIX,,San Francisco Metropolitan Internet Exchange,San Francisco,US,North America,Ethernet,"[Public looking glass](http://lg.sfmix.org/cgi-bin/bgplg?cmd=show+ip+bgp+summary&req=)

[Route Browser](https://alice.sfmix.org/)",True,False,True,https://sfmix.org/,"[{'service': 'website', 'identifier': 'https://sfmix.org/'}]",https://sfmix.org/statistics,tech-c@sfmix.org,,tech-c@sfmix.org,,,,92,12,98,2024-04-23T21:40:26Z,2024-04-23T21:40:06Z,finished,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2024-03-05T20:48:18Z,ok
165,352,NWAX,NWAX,"Northwest Access Exchange, Inc.",Portland,US,North America,Ethernet,,True,False,True,http://www.nwax.net,"[{'service': 'website', 'identifier': 'http://www.nwax.net'}]",http://www.nwax.net,noc@nwax.net,+15039140700,info@nwax.net,+15039140700,,,105,10,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2023-02-08T00:11:33Z,ok
189,411,HIX,,Hawai`i Internet Exchange,Honolulu,US,North America,Ethernet,Exchange offers routes from Hawaii facilities to Hawaii facilities only.,True,False,True,http://www.hawaii.edu/hix/Hawaii_Internet_Exchange/Home.html,"[{'service': 'website', 'identifier': 'http://www.hawaii.edu/hix/Hawaii_Internet_Exchange/Home.html'}]",,neteng-l@lists.hawaii.edu,,neteng-l@lists.hawaii.edu,,,,2,0,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2023-02-02T22:46:03Z,ok
199,439,YRIX,,Yellowstone Regional Internet eXchange,"Billings, MT",US,North America,Ethernet,,True,False,False,http://www.yrix.org/,"[{'service': 'website', 'identifier': 'http://www.yrix.org/'}]",,apply@yrix.org,,apply@yrix.org,,,,1,1,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2020-08-01T05:52:19Z,ok
204,34,Any2East,,CoreSite - Any2East,"Washington DC, Reston, Boston, New York, Atlanta",US,North America,Ethernet,,True,False,True,http://www.coresite.com,"[{'service': 'website', 'identifier': 'http://www.coresite.com'}]",,osc@coresite.com,+18667772673,any2@coresite.com,+18667772673,,info@coresite.com,48,10,0,,,queued,24/7 Support,Not Disclosed,,2010-07-29T00:00:00Z,2022-11-12T20:49:50Z,ok
205,34,Any2Florida,,CoreSite - Any2Florida,Miami/Orlando,US,North America,Ethernet,,True,False,True,http://www.coresite.com,"[{'service': 'website', 'identifier': 'http://www.coresite.com'}]",,osc@coresite.com,+18667772673,any2@coresite.com,+18667772673,,info@coresite.com,0,4,0,,,queued,24/7 Support,Not Disclosed,,2010-07-29T00:00:00Z,2022-12-19T17:27:51Z,ok
226,34,Any2Chicago,,CoreSite - Any2Chicago,Chicago,US,North America,Ethernet,,True,False,True,http://www.coresite.com,"[{'service': 'website', 'identifier': 'http://www.coresite.com'}]",,osc@coresite.com,+18667772673,any2@coresite.com,+18667772673,,info@coresite.com,14,2,0,,,queued,24/7 Support,Not Disclosed,,2010-07-29T00:00:00Z,2022-10-14T17:02:18Z,ok
239,10843,ChIX,,Chicago Internet Exchange,Chicago,US,North America,Ethernet,,True,True,True,https://unitedix.net/location/chicago,"[{'service': 'website', 'identifier': 'https://unitedix.net/location/chicago'}]",https://unitedix.net/location/chicago/networks,neteng@unitedix.net,+18774322656,peering@unitedix.net,,,,66,5,85,2024-04-18T20:35:26Z,2024-04-18T20:35:19Z,finished,24/7 Support,Not Disclosed,,2010-07-29T00:00:00Z,2023-09-06T02:52:28Z,ok
249,15749,KCIX,KCIXP,Kansas City Internet Exchange,Kansas City,US,North America,Ethernet,"### How to participate?
Please visit http://kcix.net and fill out the small form on the front page or email peering@kcix.net to connect. 

Now offering 100G/40G ports in 1102 Grand and 1530 Swift.

### Max Prefix Settings
Recommended limits to allow for future growth  
IPv4: 200000  
IPv6: 100000  

### Route Server Communities:
 0:$peerasn to exclude your routes to $peerasn
40542:$peerasn to include your routes to $peerasn
0:40542 to exclude your routes from all peers

### Official KCIX Extensions:
St. Louis, Missouri via [STLIX.net](http://stlix.net)  
[https://www.peeringdb.com/ix/2585](https://www.peeringdb.com/ix/2585)

Houston, Texas via [HOUIX.net](http://houix.net)  
[https://peeringdb.com/ix/2835](https://peeringdb.com/ix/2835)

Springfield, Missouri via [SpringIX.net](http://springix.net)  
[https://www.peeringdb.com/ix/3195](https://www.peeringdb.com/ix/3195)

Minneapolis, Minnesota via [MNVoIP.com](http://mnvoip.com)  
[https://www.peeringdb.com/net/4044](https://www.peeringdb.com/net/4044)

### Mailing List:
Please email info@kcix.net if you wish to be subscribed to the KCIX members mailing list.",True,False,True,http://www.kcix.net/,"[{'service': 'website', 'identifier': 'http://www.kcix.net/'}]",https://kcix.net/stats.php,noc@kcix.net,,peering@kcix.net,,,info@kcix.net,181,12,0,,,queued,Best Effort (no SLA),No Commercial Terms,,2010-07-29T00:00:00Z,2024-10-15T16:01:30Z,ok
254,34,Any2Denver,,CoreSite - Any2Denver,Denver,US,North America,Ethernet,,True,False,True,http://www.coresite.com,"[{'service': 'website', 'identifier': 'http://www.coresite.com'}]",,osc@coresite.com,+18667772673,any2@coresite.com,+18667772673,,info@coresite.com,76,2,0,,,queued,24/7 Support,Not Disclosed,,2010-07-29T00:00:00Z,2024-02-22T18:10:01Z,ok
256,8592,Digital Realty Phoenix,,Digital Realty Phoenix Internet Exchange,Phoenix,US,North America,Ethernet,fka: Telx Internet Exchange (TIE),True,False,True,http://ix.digitalrealty.com,"[{'service': 'website', 'identifier': 'http://ix.digitalrealty.com'}]",,ix@digitalrealty.com,+18888359832,ix@digitalrealty.com,+18888359832,,,6,1,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2021-11-01T23:25:47Z,ok
267,5311,DRF IX,,DRFortress Exchange,Honolulu,US,North America,Ethernet,,True,False,True,http://www.drfortress.com,"[{'service': 'website', 'identifier': 'http://www.drfortress.com'}]",,peering@drfortress.com,+18085287500,peering@drfortress.com,+18085287500,,,32,1,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2020-01-22T04:24:06Z,ok
322,8592,Digital Realty Dallas,,Digital Realty Dallas Internet Exchange,Dallas,US,North America,Ethernet,fka: Telx Internet Exchange (TIE),True,False,True,https://ix.digitalrealty.com,"[{'service': 'website', 'identifier': 'https://ix.digitalrealty.com'}]",,ix@digitalrealty.com,+18888359832,ix@digitalrealty.com,+18888359832,,,11,2,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2021-11-01T23:24:30Z,ok
325,8592,Digital Realty New York,,Digital Realty New York Internet Exchange,New York/New Jersey,US,North America,Ethernet,fka: Telx Internet Exchange (TIE),True,False,True,https://ix.digitalrealty.com,"[{'service': 'website', 'identifier': 'https://ix.digitalrealty.com'}]",,ix@digitalrealty.com,+18888359832,ix@digitalrealty.com,+18888359832,,,63,6,0,,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2021-11-01T23:25:13Z,ok
357,7072,SOAX,,Southern Oregon Access Exchange,Medford,US,North America,Ethernet,,True,False,True,http://soax.org/,"[{'service': 'website', 'identifier': 'http://soax.org/'}]",,,,,,,,3,1,0,,,queued,Not Disclosed,Not Disclosed,,2012-11-14T00:00:00Z,2022-08-27T13:09:46Z,ok
363,762,SUPRnet,,Southern Utah Peering Regional Network,Saint George,US,North America,Ethernet,,True,False,True,https://suprnet.net,"[{'service': 'website', 'identifier': 'https://suprnet.net'}]",,peering@suprnet.net,+14357736073,peering@suprnet.net,+14357736073,,,20,1,23,2024-11-12T00:36:00Z,,queued,Not Disclosed,Not Disclosed,,2010-07-29T00:00:00Z,2020-01-22T04:24:06Z,ok
428,2737,NASA-AIX,,NASA Ames Internet eXchange,"Mountain View, CA",US,North America,Ethernet,,True,True,True,http://www.nasa.gov/centers/ames,"[{'service': 'website', 'identifier': 'http://www.nasa.gov/centers/ames'}]",,noc@nren.nasa.gov,,bobby.g.cates@nasa.gov,,,,2,1,0,,,queued,Not Disclosed,Not Disclosed,,2010-08-28T00:00:00Z,2020-01-28T17:49:05Z,ok
446,15188,MICE,MICE,Midwest Internet Cooperative Exchange,"Minneapolis, MN",US,North America,Ethernet,"Passive BFD is enabled for all route server participants.

Route Server MICE Communities:

[Black List]
0:peerAS     -- Do not announce the route to the specified peer.

[White List]
0:53679      -- Only announce the route to specified peers (see below).
53679:peerAS -- Announce the route to the specified peer.",True,False,True,https://micemn.net,"[{'service': 'website', 'identifier': 'https://micemn.net'}]",http://micelg.usinternet.com/export/,peering@micemn.net,,peering@micemn.net,,,peering@micemn.net,146,5,171,2024-11-12T00:43:27Z,2021-10-19T01:32:00Z,finished,Best Effort (no SLA),Recurring Fees,,2010-10-09T00:00:00Z,2023-05-23T21:08:22Z,ok
476,3644,AZIX,,Arizona Internet Exchange,Phoenix,US,North America,Ethernet,,True,False,True,,[],,info@arizonaix.net,+18665444830,info@arizonaix.net,,,,2,1,0,,,queued,Not Disclosed,Not Disclosed,,2011-03-05T00:00:00Z,2020-01-22T04:24:06Z,ok
496,4011,BNIIX,,Buffalo Niagara International Internet Exchange,Buffalo,US,North America,Ethernet,,True,False,True,http://www.bniix.net,"[{'service': 'website', 'identifier': 'http://www.bniix.net'}]",,support@bniix.net,+18558585853,peering@bniix.net,+17169869860,,,3,0,0,,,queued,Not Disclosed,Not Disclosed,,2011-05-04T00:00:00Z,2024-11-07T02:34:48Z,ok
499,4185,MKE-IX,,The Milwaukee IX,Milwaukee,US,North America,Ethernet,,True,True,True,http://www.mkeix.net,"[{'service': 'website', 'identifier': 'http://www.mkeix.net'}]",http://www.mkeix.net/stats,discuss@lists.mkeix.net,,discuss@lists.mkeix.net,,,,11,1,0,,,queued,Not Disclosed,Not Disclosed,,2011-06-02T00:00:00Z,2016-03-14T20:33:44Z,ok
514,4079,Central Oregon Internet Exchange,COIX,Central Oregon Internet eXchange,Bend,US,North America,Ethernet,,True,False,True,https://www.centraloregonix.org,"[{'service': 'website', 'identifier': 'https://www.centraloregonix.org'}]",,noc@centraloregonix.org,,policy@centraloregonix.org,,,,10,2,11,2024-11-12T00:49:52Z,2024-02-22T03:54:58Z,finished,Not Disclosed,Recurring Fees,,2011-05-14T00:00:00Z,2023-08-23T19:01:40Z,ok
563,5570,JXIX,,Jacksonville Internet Exchange,Jacksonville,US,North America,Ethernet,JXIX is now being operated by UnitedIX.,True,True,True,http://jxix.org,"[{'service': 'website', 'identifier': 'http://jxix.org'}]",,support@unitedix.net,,support@unitedix.net,,,,13,2,0,,,queued,24/7 Support,Not Disclosed,,2012-01-30T00:00:00Z,2021-08-31T14:09:42Z,ok
565,373,Boston Internet Exchange,BOSIX,Boston Internet Exchange,"Boston, Massachusetts",US,North America,Ethernet,,True,False,True,http://www.bostonix.net/,"[{'service': 'website', 'identifier': 'http://www.bostonix.net/'}]",,neteng@markleygroup.com,+16174516464,neteng@markleygroup.com,+16174516464,,,62,2,0,,,queued,Not Disclosed,Not Disclosed,,2012-02-03T00:00:00Z,2023-05-17T21:58:51Z,ok
624,5380,TP-IX,,Twin Ports Internet Exchange,Duluth,US,North America,Ethernet,,True,True,True,http://tp-ix.net,"[{'service': 'website', 'identifier': 'http://tp-ix.net'}]",,peering@tp-ix.net,,peering@tp-ix.net,,,,2,1,0,,,queued,Not Disclosed,Not Disclosed,,2012-11-05T00:00:00Z,2019-06-14T22:56:04Z,ok
640,7202,GCIIX,,Greater Chicago International Internet Exchange,Chicago,US,North America,Ethernet,,True,False,True,http://www.gciix.net,"[{'service': 'website', 'identifier': 'http://www.gciix.net'}]",,noc@gciix.net,+18558585497,peering@gciix.net,+18558585497,,,1,1,0,,,queued,Not Disclosed,Not Disclosed,,2012-12-22T00:00:00Z,2020-01-22T04:24:06Z,ok
662,7483,Ninja-IX Phoenix,,Ninja-IX Phoenix,Phoenix,US,North America,Ethernet,"SLA is available
OPEN-IX certified since March 2021
We operate switches at 9 sites / campuses plus offer remote connections via layer 2 providers.",True,False,True,http://www.phoenix-ix.net,"[{'service': 'website', 'identifier': 'http://www.phoenix-ix.net'}]",,peering@phoenix-ix.net,+16026886414,peering@phoenix-ix.net,+16026886414,,,61,18,69,2022-05-26T00:09:07Z,,queued,Best Effort (no SLA),Recurring Fees,,2013-03-12T00:00:00Z,2023-04-04T17:12:26Z,ok
672,7625,CyrusOne IX Dallas,,CyrusOne Internet Exchange,Dallas,US,North America,Ethernet,,True,False,True,http://www.cyrusone.com,"[{'service': 'website', 'identifier': 'http://www.cyrusone.com'}]",,peering@cyrusone.com,+1-786-493-4764 (Bill Williams Cell),peering@cyrusone.com,+1-786-493-4764 (Bill Williams Cell),,,3,0,0,,,queued,Not Disclosed,Not Disclosed,,2013-04-09T00:00:00Z,2019-06-10T13:10:47Z,ok
673,2680,Databank IX Houston,,Databank Internet Exchange,Houston,US,North America,Ethernet,,True,False,True,http://www.databank.com,"[{'service': 'website', 'identifier': 'http://www.databank.com'}]",,networking@databank.com,,networking@databank.com,,,,15,2,0,,,queued,Not Disclosed,Not Disclosed,,2013-04-09T00:00:00Z,2022-06-22T18:33:13Z,ok
674,7625,CyrusOne IX Austin,,CyrusOne Internet Exchange,Austin,US,North America,Ethernet,,True,False,True,http://www.cyrusone.com,"[{'service': 'website', 'identifier': 'http://www.cyrusone.com'}]",,peering@cyrusone.com,+17864934764,peering@cyrusone.com,+17864934764,+18555643198,,1,1,0,,,queued,Not Disclosed,Not Disclosed,,2013-04-09T00:00:00Z,2024-11-07T02:36:04Z,ok
675,7625,CyrusOne IX San Antonio,,CyrusOne Internet Exchange,San Antonio,US,North America,Ethernet,,True,False,True,http://www.cyrusone.com,"[{'service': 'website', 'identifier': 'http://www.cyrusone.com'}]",,peering@cyrusone.com,+1-786-493-4764 (Bill Williams Cell),peering@cyrusone.com,+1-786-493-4764 (Bill Williams Cell),,,0,0,0,,,queued,Not Disclosed,Not Disclosed,,2013-04-09T00:00:00Z,2019-06-10T18:38:14Z,ok
760,7625,CyrusOne IX Phoenix,,CyrusOne Internet Exchange,Phoenix,US,North America,Ethernet,,True,False,True,http://www.cyrusone.com,"[{'service': 'website', 'identifier': 'http://www.cyrusone.com'}]",,peering@cyrusone.com,+17864934764,peering@cyrusone.com,+17864934764,,,2,0,0,,,queued,Not Disclosed,Not Disclosed,,2013-09-09T00:00:00Z,2024-11-07T02:36:52Z,ok
777,791,LINX NoVA,,"LINX Northern Virginia, Ashburn, Reston and Manassas",Northern Virginia,US,North America,Ethernet,,True,True,True,https://www.linx.net/about/our-network/linx-nova/,"[{'service': 'website', 'identifier': 'https://www.linx.net/about/our-network/linx-nova/'}]",https://portal.linx.net,support@linx.net,+442076453535,mikeh@linx.net,+442076453500,,,47,12,0,,,queued,Not Disclosed,Not Disclosed,,2013-10-10T00:00:00Z,2020-08-25T13:38:12Z,ok
804,1187,DE-CIX New York,DE-CIX NYC,,New York,US,North America,Ethernet,"For peering with the DE-CIX New York route servers, please see:

[DE-CIX New York Route Servers](https://www.peeringdb.com/net/6978)",True,False,True,https://www.de-cix.net/locations/new-york,"[{'service': 'website', 'identifier': 'https://www.de-cix.net/locations/new-york'}]",https://www.de-cix.net/locations/new-york/statistics,support@de-cix.net,+12127966914,sales@de-cix.net,+12127966914,,,264,31,0,,,queued,24/7 Support,Recurring Fees,,2013-11-13T00:00:00Z,2021-11-17T11:47:54Z,ok
809,8583,OmahaIX,,Omaha Internet Exchange,Omaha,US,North America,Ethernet,,True,False,True,http://www.omahaix.com,"[{'service': 'website', 'identifier': 'http://www.omahaix.com'}]",,oix@1623farnam.com,+15073275341,oix@1623farnam.com,+15073275341,,,43,1,0,,,queued,Not Disclosed,Not Disclosed,,2013-11-26T00:00:00Z,2022-03-29T18:35:20Z,ok
829,8808,SLIX - Salt Lake City Internet Exchange,,Salt Lake Internet Exchange,Salt Lake City,US,North America,Ethernet,,True,False,True,http://slix.net,"[{'service': 'website', 'identifier': 'http://slix.net'}]",https://ixp.slix.net/statistics/ixp,info@slix.net,+18015390852,info@slix.net,+18015390852,,,35,5,47,2024-11-12T01:08:47Z,,queued,24/7 Support,Recurring Fees,,2014-02-16T00:00:00Z,2021-06-03T21:25:23Z,ok
833,6705,TPAIX,,Tampa Internet Exchange,Tampa,US,North America,Ethernet,,True,False,True,http://www.tpaix.net,"[{'service': 'website', 'identifier': 'http://www.tpaix.net'}]",,ixsupport@wowinc.com,+18133012620,ixsupport@wowinc.com,+18133012620,,,22,2,0,,,queued,Not Disclosed,Not Disclosed,,2014-02-22T00:00:00Z,2020-01-22T04:24:06Z,ok
869,9300,Ohio IX,,Ohio IX,Columbus,US,North America,Ethernet,Ohio's largest IXP!,True,False,True,http://ohioix.net/,"[{'service': 'x', 'identifier': 'ohioixp'}, {'service': 'website', 'identifier': 'http://ohioix.net/'}]",https://ixpmanager.ohioix.net/statistics/ixp,noc@ohioix.net,+16143793330,info@ohioix.net,,,info@ohioix.net,49,16,58,2024-11-12T01:09:32Z,2022-09-01T14:26:08Z,finished,Normal Business Hours,Not Disclosed,https://ixpmanager.ohioix.net/public-content/support,2014-05-26T00:00:00Z,2023-09-15T18:33:39Z,ok
935,2634,AMS-IX Bay Area,AMS-IX BA,AMS-IX Bay Area,"San Francisco, San Jose",US,North America,Ethernet,,True,False,True,https://www.ams-ix.net/bay,"[{'service': 'website', 'identifier': 'https://www.ams-ix.net/bay'}]",https://stats-ba.us.ams-ix.net/,noc@us.ams-ix.net,+12124614815,info@us.ams-ix.net,+12124614768,,,22,3,27,2024-11-12T01:10:24Z,2024-04-10T13:14:56Z,finished,Not Disclosed,Not Disclosed,,2014-09-18T00:00:00Z,2024-04-15T11:33:17Z,ok
938,10007,TahoeIX,,Tahoe Internet Exchange,Reno,US,North America,Ethernet,,True,False,True,https://www.tahoeix.org,"[{'service': 'website', 'identifier': 'https://www.tahoeix.org'}]",https://www.tahoeix.org#stats,info@tahoeix.org,+17755252539,info@tahoeix.org,+17755252539,+17755252539,info@tahoeix.org,12,2,0,,,queued,Best Effort (no SLA),No Commercial Terms,,2014-09-29T00:00:00Z,2021-12-11T17:45:26Z,ok
